word,sent_num,pos
PREFACE,1,VB
A,1,DT
preface,1,NN
to,1,TO
the,1,DT
first,1,JJ
edition,1,NN
of,1,IN
``,1,``
Jane,1,NNP
Eyre,1,NNP
'',1,''
being,1,VBG
unnecessary,1,JJ
",",1,","
I,1,PRP
gave,1,VBD
none,1,NN
:,1,:
this,1,DT
second,1,JJ
edition,1,NN
demands,1,VBZ
a,1,DT
few,1,JJ
words,1,NNS
both,1,DT
of,1,IN
acknowledgment,1,NN
and,1,CC
miscellaneous,1,JJ
remark,1,NN
.,1,.
My,2,PRP$
thanks,2,NNS
are,2,VBP
due,2,JJ
in,2,IN
three,2,CD
quarters,2,NNS
.,2,.
To,3,TO
the,3,DT
Public,3,NNP
",",3,","
for,3,IN
the,3,DT
indulgent,3,JJ
ear,3,NN
it,3,PRP
has,3,VBZ
inclined,3,VBN
to,3,TO
a,3,DT
plain,3,JJ
tale,3,NN
with,3,IN
few,3,JJ
pretensions,3,NNS
.,3,.
To,4,TO
the,4,DT
Press,4,NNP
",",4,","
for,4,IN
the,4,DT
fair,4,JJ
field,4,NN
its,4,PRP$
honest,4,JJS
suffrage,4,NN
has,4,VBZ
opened,4,VBN
to,4,TO
an,4,DT
obscure,4,JJ
aspirant,4,NN
.,4,.
To,5,TO
my,5,PRP$
Publishers,5,NNS
",",5,","
for,5,IN
the,5,DT
aid,5,NN
their,5,PRP$
tact,5,NN
",",5,","
their,5,PRP$
energy,5,NN
",",5,","
their,5,PRP$
practical,5,JJ
sense,5,NN
and,5,CC
frank,5,NN
liberality,5,NN
have,5,VBP
afforded,5,VBN
an,5,DT
unknown,5,JJ
and,5,CC
unrecommended,5,JJ
Author,5,NN
.,5,.
The,6,DT
Press,6,NNP
and,6,CC
the,6,DT
Public,6,NNP
are,6,VBP
but,6,CC
vague,6,JJ
personifications,6,NNS
for,6,IN
me,6,PRP
",",6,","
and,6,CC
I,6,PRP
must,6,MD
thank,6,VB
them,6,PRP
in,6,IN
vague,6,NN
terms,6,NNS
;,6,:
but,6,CC
my,6,PRP$
Publishers,6,NNS
are,6,VBP
definite,6,JJ
:,6,:
so,6,RB
